[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
